Sample ID,key,Al,Si,Ti,Fe,Mn,Mg,Ca,Na,K,P,S,Cl,As,Ba,Bi,Br,Cd,Co,Cr,Cs,Cu,Ga,Hf,Hg,La,Mo,Nb,Ni,Pb,Rb,Sc,Se,Sn,Sr,Ta,Th,U,V,W,Y,Zn,Zr
BC-DUK-102,bc_1,79921.29764701739,309852.06346285524,5718.67915726166,41519.614622743284,218.50087882960656,13018.891062373277,1811.37633604313,3871.5780025689587,30977.851956235005,442.27104147233536,12720.0,136.2326852634545,9.386387434554974,258.57165603115965,0,9.7,0.0,20.34052042614011,86.79819553836016,21.3,38.73347200994527,18.926448569010937,2.8,10.7,0.0,63.41570770413543,14.94603375375561,101.13572147664442,13.965306911368886,145.96208746724525,0.0,1.8,0.0,106.02255941821805,23.1,12.83241661800469,12.719004017520598,160.85021768152063,0.0,30.37887675269308,970.9288137783967,245.73902215198666
BC-DUK-52,bc_2,90533.46486952476,304758.72622754535,4873.952779588497,80845.32622711174,121.62432430909641,12853.479143045663,1485.1705222535302,0.0,30420.137666229868,836.8660761804509,47180.0,150.98619329388563,78.14450261780104,265.3041971157789,0,7.8,0.0,43.97238719955209,73.36875444544954,0.0,56.53891025808477,16.6574883604453,2.7,13.8,73.8,105.19294757679222,13.845712250411637,102.88102457206337,17.001243196449078,136.08952171763968,0.0,0.9,0.0,214.47906189011422,27.5,11.744923684275477,8.191038587283266,215.19834999363985,6.3,25.187549712675903,128.84249411576246,213.58686240651707
BC-DUK-62,bc_3,85862.08025483254,292756.16630781494,5511.4448823652065,44942.10333140798,191.24700577129005,12454.544514079069,1233.6902693320324,2888.32009715462,32538.040033338006,478.7888338874823,14630.0,105.12952944491408,30.081675392670157,308.9605182113571,0,6.4,0.0,21.85453974588517,85.50836221305237,0.0,39.464292236548005,16.82350983912083,5.0,10.1,63.8,50.70400052920738,15.266960858897601,86.71400642502483,15.58447293007832,152.18939817084262,0.0,0.0,0.0,139.9030467254172,23.9,13.049915204750533,9.819071101525902,225.32533116981116,1.1,29.753994794172492,102.22413192134235,239.15206853273222
BC-DUK-72,bc_4,84034.14714473557,290984.57074770716,5654.535215031805,43099.22479597314,204.16910075583664,12868.0743123981,1947.8941876290862,3195.5881925966005,32326.249796627184,472.905411776153,12460.0,131.3579881656805,59.5979057591623,329.57892528300374,0,6.3,0.0,17.575789494431746,92.71625432506654,0.0,39.13210122445585,17.764298218282196,4.1,13.6,0.0,52.91783717203192,15.817121610569586,84.78498721429864,16.596451691771716,152.56911223813515,0.0,0.7,0.0,122.76808762752337,24.6,13.339913320411654,10.531335326507055,212.66660469959703,5.4,30.71535165343493,135.9781394028209,248.5433687423623
BC-DUK-82,bc_5,89721.05015392613,288681.49651956704,5516.379031767504,48594.95185700204,236.20023317207645,13588.102667118297,1504.570427478903,3072.6809544198086,34670.0617495602,539.0431913724748,13810.0,135.75815722738798,51.90785340314136,312.95796448034986,0,6.9,0.0,20.07721271835836,87.7845386694779,43.9,44.912224834859344,19.147810540578316,3.6,10.5,82.8,60.63055837929164,14.99188048306161,88.36745146279014,17.608430453465115,165.7831617799149,0.0,0.9,2.8,156.45385949042827,18.7,13.267413791496375,11.345351583628375,117.05102409457979,0.0,30.426944595656195,684.0598380807004,225.19555294342086
BC-DUK-92,bc_6,80987.5919612406,288592.91674156167,5664.403513836399,43406.37121854561,183.33711732620395,12157.77607057953,1110.1056878963252,3625.7635262153735,31464.96950066988,494.61321060071265,12300.0,122.98903916596225,24.766492146596857,269.40683933921883,0,7.8,0.0,16.325077882468438,82.6252053682467,29.7,27.306101193975138,19.535193990821227,4.7,8.8,0.0,56.48854143465216,15.542041234733592,87.44887088625386,14.673692044554263,148.3922574979174,0.0,0.6,1.9,124.22845345973023,20.0,13.412412849326936,11.497979631838621,131.73514680002816,2.3,30.330808909729953,262.0946566673475,249.39119445573166
BC-HAN-16,bc_7,102618.13376405473,280753.60638808465,5975.254926181079,38124.54970180825,460.02658144985986,16959.586787531105,8061.738393654869,0.0,39901.28059631729,329.6745148589656,3350.0,33.60521273598197,0.0,291.603185727573,0,0.0,0.0,15.79846246690494,104.32475425283673,24.8,33.08622480437863,20.642003848658124,4.2,5.5,57.4,0.0,15.3128075882036,51.1649381130708,9.917391864595295,194.64143089414654,0.0,0.0,0.0,119.36056735237403,16.1,13.049915204750533,5.901617864129558,158.40286389727922,2.8,28.023552447500098,79.85508658326037,240.0651116086685
BC-HAN-24,bc_8,102110.37456680558,274110.12303768034,5659.469364434102,43614.79200529122,404.8923095157942,18083.414827668712,5934.933968947344,0.0,41637.960537345956,384.85695673074326,3648.0,63.11222879684419,0.0,306.01503148683616,0,0.0,0.0,17.44413564054087,104.24888170428922,27.0,28.302674230251604,24.90322180133018,2.5,12.1,63.2,0.0,14.533413190001617,69.07725935552826,10.119787616933975,195.93245872294108,0.0,0.0,0.0,100.18109608939062,17.1,13.702410964988058,4.985849574868075,144.05630723103656,2.5,27.687077546758243,106.39327298793826,188.99991671880503
BC-HAN-28,bc_9,103430.54847965339,290364.51230166946,5437.432641330759,66749.4993340536,274.65325521700004,17300.140739087958,2251.826036159924,0.0,39816.56450163296,618.5708281876838,20120.0,150.12341504649197,35.17068062827225,253.10146639990646,0,0.6,0.0,30.7411748835192,104.17300915574171,0.0,24.24994388272731,24.294476379519885,2.1,12.3,67.5,25.20917209409888,14.441719731389622,84.23383886837688,11.94134938798209,194.03388838647848,0.0,0.0,0.0,124.22845345973023,19.4,13.992409080649182,5.850741848059475,229.5449066598825,5.3,27.01412774527454,126.1966930542689,201.586867694212
BC-HAN-34,bc_10,105461.58526865001,283012.390727222,5980.189075583376,47399.27471198777,386.48811362871265,18550.460246946677,5230.78926076715,0.0,43212.26796356301,417.7229699043755,4535.0,110.78072696534238,0.0,266.6717445235922,0,0.0,0.0,16.127597101632126,108.72536206859277,28.4,19.798584320692434,25.345945744464938,3.9,12.9,0.0,4.4990873709015,15.129420670979602,66.22965956826579,10.220985493103314,203.67862569570852,0.0,0.0,0.0,100.5705269779791,19.9,14.137408138479742,5.698113799849228,149.1197978191222,5.3,26.485381472680196,82.82159080372286,207.84773450063201
BC-HAN-35,bc_11,109168.22740856886,298602.43165617075,5679.205962043289,61593.827240872786,303.23849563736076,18316.93753730769,3110.451471134752,0.0,41772.09435392947,543.7093537366326,16210.0,142.3584108199493,37.65863874345549,273.719873471553,0,0.4,0.0,28.04227087875627,101.74508760222113,40.5,25.57870793109593,23.353688000358527,5.6,13.8,80.5,19.35321710340169,14.166639355553627,70.45513022033268,11.53655788330473,189.62920520588523,0.0,0.0,0.0,112.83759996851674,20.0,13.557411907157498,5.189353639148404,144.39387327024227,7.9,25.139481869712778,82.6612392242384,201.5216503316451
BC-HAN-36 BS-1,bc_12,98809.93978468605,278273.3726039337,4988.425045721776,90663.04223433902,148.4083030043385,14210.829892822248,1243.0309644405454,0.0,34620.644027661,916.3937129956599,51670.0,175.1439842209073,132.87958115183244,258.36126412226525,0,10.4,0.0,50.884214528822994,83.61154849936442,41.8,46.83893270499385,17.376914768039278,4.0,15.9,88.4,72.62812470169564,13.570631874575643,155.24011743463132,18.215617710481155,163.27704893578425,0.0,0.7,0.0,269.29145945894504,19.4,13.9199095517339,5.5454857516389815,156.63064219144925,6.9,24.41846422526595,97.73428769577751,208.10860395089952
