Sample ID,key,Lithology,Location,Formation,Kellwasser Thickness (cm),Depth Above Datum cm,Datum
BC-HAN-16cm-1,bc_7,Grey Shale,Beaver Creek,Hanover,16.0,16.0,Base of Kellwasser
BC-HAN-24cm-1,bc_8,Grey Shale,Beaver Creek,Hanover,16.0,24.0,Base of Kellwasser
BC-HAN-28cm-1,bc_9,Grey Shale,Beaver Creek,Hanover,16.0,28.0,Base of Kellwasser
BC-HAN-34cm-1,bc_10,Grey Shale,Beaver Creek,Hanover,16.0,34.0,Base of Kellwasser
BC-HAN-35cm-1,bc_11,Grey Shale,Beaver Creek,Hanover,16.0,35.0,Base of Kellwasser
BC-HAN-36cm-1,bc_12,Black Shale/pyrite,Beaver Creek,Hanover,16.0,36.0,Base of Kellwasser
BC-HAN-36cm-2,bc_13,Black Shale/pyrite,Beaver Creek,Hanover,16.0,36.0,Base of Kellwasser
BC-HAN-38cm-1,bc_14,Grey Shale,Beaver Creek,Hanover,16.0,38.0,Base of Kellwasser
BC-HAN-41cm-1,bc_15,Grey Shale,Beaver Creek,Hanover,16.0,41.0,Base of Kellwasser
BC-HAN-43cm-1,bc_16,Grey Shale,Beaver Creek,Hanover,16.0,43.0,Base of Kellwasser
BC-HAN-45cm-1,bc_17,Grey Shale,Beaver Creek,Hanover,16.0,45.0,Base of Kellwasser
BC-HAN-47cm-1,bc_18,Grey Shale,Beaver Creek,Hanover,16.0,47.0,Base of Kellwasser
BC-HAN-49cm-1,bc_19,Grey Shale,Beaver Creek,Hanover,16.0,49.0,Base of Kellwasser
BC-HAN-51cm-1,bc_20,Grey Shale,Beaver Creek,Hanover,16.0,51.0,Base of Kellwasser
BC-DUK-52cm-1,bc_2,Black Shale,Beaver Creek,Dunkirk,16.0,52.0,Base of Kellwasser
BC-DUK-62cm-1,bc_3,Black Shale,Beaver Creek,Dunkirk,16.0,62.0,Base of Kellwasser
BC-DUK-72cm-1,bc_4,Black Shale,Beaver Creek,Dunkirk,16.0,72.0,Base of Kellwasser
BC-DUK-82cm-1,bc_5,Black Shale,Beaver Creek,Dunkirk,16.0,82.0,Base of Kellwasser
BC-DUK-92cm-1,bc_6,Black Shale,Beaver Creek,Dunkirk,16.0,92.0,Base of Kellwasser
BC-DUK-102cm-1,bc_1,Black Shale,Beaver Creek,Dunkirk,16.0,102.0,Base of Kellwasser
PTG-HAN-GS 0''-1A,pg_1,Grey Shale,Point Gratiot,Hanover,16.5,16.5,Base of Kellwasser
PTG-HAN-GS 0''-1B,pg_2,Grey Shale,Point Gratiot,Hanover,16.5,16.5,Base of Kellwasser
PTG-HAN-GS 0''-1C,pg_3,Grey Shale,Point Gratiot,Hanover,16.5,16.5,Base of Kellwasser
PTG-HAN-GS 3''-1A,pg_10,Grey Shale,Point Gratiot,Hanover,16.5,24.12,Base of Kellwasser
PTG-HAN-GS 3''-1B,pg_11,Grey Shale,Point Gratiot,Hanover,16.5,24.12,Base of Kellwasser
PTG-HAN-GS 3''-1C,pg_12,Grey Shale,Point Gratiot,Hanover,16.5,24.12,Base of Kellwasser
PTG-HAN-GS 4.5''-1A,pg_19,Grey Shale,Point Gratiot,Hanover,16.5,27.93,Base of Kellwasser
PTG-HAN-GS 4.5''-1B,pg_20,Grey Shale,Point Gratiot,Hanover,16.5,27.93,Base of Kellwasser
PTG-HAN-GS 4.5''-1C,pg_21,Grey Shale,Point Gratiot,Hanover,16.5,27.93,Base of Kellwasser
PTG-PT GRATIOT PYRITE LOC 1A,pg_28,Black Shale/pyrite,Point Gratiot,Hanover,16.5,33.010000000000005,Base of Kellwasser
